year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2015,2581.17243,2,1,2,1,8,2,6,1,1,1,3,1,2,0,1,4,2,0,0,2,1
2015,2859.74023,2,1,2,1,7,2,4,1,4,2,4,1,3,5,1,4,2,0,0,,1
2015,3205.77505,1,3,1,4,7,1,7,5,1,1,4,2,2,0,1,4,2,0,0,2,1
2015,2870.37133,1,1,2,1,7,2,5,1,3,2,4,1,2,0,1,4,2,0,0,2,3
2015,3107.1656,1,1,2,1,6,4,6,0,2,2,3,1,2,0,1,4,2,0,0,2,1
2015,3945.49005,1,1,2,1,4,1,3,1,2,1,4,2,2,0,1,4,2,1,1,2,2
2015,28860.8057,2,1,2,1,7,2,6,1,2,2,2,1,1,2,1,3,1,1,2,1,1
2015,2260.54315,2,1,2,1,4,1,7,1,2,1,3,2,2,0,1,4,2,0,0,2,4
2015,4036.56283,1,1,2,1,5,4,3,1,3,2,1,1,2,0,1,4,2,0,0,2,1
2015,2613.40011,1,1,2,1,8,2,88,1,2,2,3,2,2,0,1,4,2,0,0,2,5
2015,2992.22774,2,1,2,1,5,1,7,4,3,1,3,1,2,0,1,4,2,0,0,2,3
2015,3335.19966,1,1,2,1,6,2,7,0,2,2,4,1,1,2,1,3,1,0,0,2,3
2015,8518.43598,1,2,2,2,5,1,5,1,2,2,4,2,3,5,1,4,2,0,0,2,1
2015,4791.8637,1,2,2,2,5,5,3,2,3,1,2,2,1,2,1,2,1,0,0,2,1
2015,3435.71417,2,1,2,1,5,4,6,3,3,1,4,1,1,1,1,2,1,0,0,2,3
2015,5076.55808,2,1,2,1,2,1,3,2,3,1,4,2,2,0,1,4,2,0,0,2,3
2015,2848.1137,2,1,2,1,6,2,88,4,3,1,4,1,2,0,1,4,2,0,0,2,1
2015,2848.1137,2,1,2,1,6,2,88,4,3,1,3,1,3,5,1,4,2,0,0,2,1
2015,3960.23359,2,1,2,1,3,1,3,0,2,2,1,1,2,0,1,4,2,0,0,2,1
2015,4194.81155,2,2,2,2,7,1,2,1,3,3,1,1,2,0,1,4,2,0,0,2,1
2015,4804.06745,1,1,2,1,3,1,1,1,1,2,3,2,2,0,1,1,1,1,1,2,2
2015,4007.96344,2,1,1,4,4,1,4,1,1,2,4,1,3,5,1,4,2,0,0,2,3
2015,669.08145,1,1,2,1,6,2,88,3,4,1,1,1,1,3,1,3,1,0,0,2,1
2015,534.79333,1,1,2,1,7,2,7,1,4,2,4,1,3,5,1,4,2,0,0,2,5
2015,876.52346,2,1,2,1,2,1,7,2,4,2,4,2,1,3,1,3,1,1,1,2,3
2015,876.52346,2,1,2,1,2,1,7,2,4,2,4,2,2,0,1,4,2,0,0,2,3
2015,490.09223,1,1,2,1,6,2,7,4,4,1,3,1,2,0,1,4,2,0,0,2,5
2015,962.91043,2,1,2,1,7,4,88,1,4,2,3,2,3,5,1,4,2,0,0,2,2
2015,1224.03115,2,1,1,4,7,4,2,2,4,2,4,2,2,0,1,4,2,0,0,2,3
2015,1138.25903,1,1,2,1,7,2,7,1,4,2,4,1,2,0,1,4,2,1,2,2,1
2015,1676.62015,1,1,1,4,3,1,7,4,4,1,3,1,2,0,1,4,2,1,2,2,2
2015,1130.45679,1,1,1,4,4,1,7,1,4,2,4,2,1,3,1,3,1,0,0,2,3
2015,521.83547,2,1,2,1,6,2,7,1,4,2,5,2,2,0,1,4,2,0,0,2,4
2015,1520.78849,1,2,2,2,6,1,2,2,4,1,4,2,2,0,1,4,2,0,0,2,3
2015,521.53493,2,1,2,1,5,1,7,1,4,2,4,1,1,3,1,2,1,0,0,2,3
2015,3087.22717,1,1,2,1,7,1,6,0,3,2,3,2,1,1,1,3,1,0,0,2,1
2015,3627.01745,2,1,2,1,6,2,7,1,4,2,4,2,1,3,1,3,1,0,0,2,1
2015,2907.59492,2,1,2,1,6,4,5,1,4,2,3,2,2,0,1,4,2,0,0,2,3
2015,3876.07393,2,3,2,3,6,2,1,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2015,3290.22003,2,1,2,1,6,4,4,0,3,2,1,1,3,5,1,2,1,0,0,2,1
2015,1489.65268,2,1,2,1,5,4,6,1,4,3,1,1,1,3,1,3,1,0,0,2,3
2015,6704.00996,1,2,2,2,6,1,88,4,4,1,4,1,2,0,1,2,1,1,2,2,3
2015,2704.2363,1,1,2,1,7,2,7,0,3,2,3,1,2,0,1,4,2,0,0,2,2
2015,3734.91448,1,1,2,1,5,1,5,4,2,1,4,3,2,0,1,4,2,0,0,2,3
2015,3734.91448,1,1,2,1,5,1,5,4,2,1,4,2,2,0,1,4,2,0,0,2,3
2015,3734.91448,1,1,2,1,5,1,5,4,2,1,5,2,2,0,1,4,2,0,0,2,3
2015,3734.91448,1,1,2,1,5,1,5,4,2,1,4,2,2,0,1,4,2,0,0,2,3
2015,2987.83724,1,3,2,3,6,2,5,1,4,1,4,1,1,1,1,3,1,1,1,2,5
2015,4868.21038,2,1,1,4,5,1,4,5,3,1,3,1,2,0,1,4,2,1,2,2,3
2015,3329.46719,1,1,2,1,6,2,7,1,3,2,4,2,2,0,1,4,2,0,0,2,3
2015,3819.4762,2,1,2,1,3,2,4,0,3,2,3,2,2,0,1,4,2,0,0,2,3
2015,4278.66673,2,1,2,1,4,1,88,1,1,1,4,1,1,1,1,2,1,0,0,2,1
2015,3558.27398,2,2,2,2,5,2,88,0,3,2,4,1,1,1,1,3,1,0,0,2,3
2015,2951.5945,1,1,2,1,7,1,5,1,4,3,3,1,2,0,1,2,1,0,0,1,1
2015,3223.48007,2,3,2,3,5,2,88,0,4,2,3,1,2,0,1,4,2,0,0,2,1
2015,3932.45361,2,1,2,1,4,1,7,1,4,1,4,2,2,0,1,1,1,1,1,2,3
2015,3690.5469,1,1,2,1,6,4,4,1,3,2,4,2,2,0,1,4,2,0,0,2,2
2015,4535.0669,2,1,1,4,2,1,4,2,3,1,1,2,2,0,1,4,2,0,0,1,3
2015,3513.29103,2,1,2,1,5,4,7,5,3,1,1,1,2,0,1,4,2,1,1,2,3
2015,3178.35841,1,1,2,1,7,4,88,5,3,1,4,1,2,0,1,4,2,1,2,2,3
2015,3178.35841,1,1,2,1,7,4,88,5,3,1,5,1,2,0,1,4,2,0,0,1,3
2015,3178.35841,1,1,2,1,7,4,88,5,3,1,3,2,2,0,1,4,2,0,0,2,1
2015,3482.35278,2,3,2,3,5,4,5,4,3,1,4,1,2,0,1,4,2,0,0,2,5
2015,3691.24762,1,1,2,1,5,4,88,2,4,1,3,2,2,0,1,4,2,0,0,2,3
2015,3111.663,2,1,2,1,6,2,7,1,1,2,4,1,2,0,1,4,2,0,0,2,5
2015,5127.9733,1,1,2,1,3,1,6,1,2,3,3,2,2,0,1,4,2,0,0,2,3
2015,5522.52511,1,3,2,3,3,1,6,3,2,1,4,1,2,0,1,2,1,0,0,2,3
2015,5522.52511,1,3,2,3,3,1,6,3,2,1,5,2,1,3,1,3,1,0,0,2,3
2015,3455.50311,1,2,2,2,5,1,88,4,2,1,4,1,1,4,1,2,1,0,0,2,3
2015,2879.1327,1,1,2,1,4,2,4,0,2,3,4,2,2,0,1,4,2,0,0,2,3
2015,2879.1327,1,1,2,1,4,2,4,0,2,3,4,2,2,0,1,4,2,0,0,2,5
2015,3064.76703,1,1,2,1,5,2,6,1,3,3,3,2,1,2,1,3,1,0,0,2,2
2015,6194.58594,1,1,2,1,2,1,7,1,1,1,3,2,2,0,1,4,2,0,0,2,4
2015,2971.44471,2,1,2,1,7,4,6,0,1,2,3,2,2,0,1,4,2,0,0,1,1
2015,4367.9066,1,1,2,1,1,1,7,1,4,2,4,2,2,0,1,2,1,0,0,1,4
2015,2988.32976,2,1,1,4,6,2,2,1,4,2,4,1,1,3,1,2,1,0,0,2,1
2015,2988.32976,2,1,1,4,6,2,2,1,4,2,4,1,1,3,1,2,1,0,0,2,1
2015,3304.82663,1,1,1,4,6,1,88,2,4,1,4,2,2,0,1,4,2,0,0,2,1
2015,2729.95811,1,1,2,1,7,1,7,1,4,1,4,2,2,0,1,4,2,0,0,2,1
2015,5529.31637,2,1,1,4,1,1,7,1,4,2,3,1,2,0,1,4,2,0,0,2,4
2015,2936.74294,2,1,1,4,6,1,7,2,4,1,1,1,1,1,1,1,1,0,0,2,1
2015,3735.39705,2,1,1,4,8,3,7,2,4,1,3,1,1,1,1,1,1,0,0,2,1
2015,5172.01469,2,1,2,1,6,1,6,0,1,2,4,2,2,0,1,4,2,0,0,2,3
2015,2808.17785,2,3,2,3,8,4,4,2,4,2,4,1,2,0,1,4,2,0,0,2,1
2015,4625.07312,2,1,1,4,1,1,7,1,4,1,3,2,1,4,1,3,1,0,0,2,4
2015,3304.86463,1,1,2,1,7,2,6,0,3,2,3,1,2,0,1,4,2,1,2,1,1
2015,2860.60273,2,2,2,2,8,3,3,1,3,3,3,2,2,0,2,5,3,0,0,2,2
2015,3000.78536,2,1,1,4,6,2,88,5,4,1,4,1,1,4,1,3,1,0,0,2,3
2015,3015.93767,2,1,2,1,7,4,4,2,4,1,1,1,1,3,1,3,1,1,2,1,1
2015,2693.93449,2,1,1,4,7,1,1,4,4,1,3,1,1,2,1,2,1,1,2,2,3
2015,2693.93449,2,1,1,4,7,1,1,4,4,1,4,2,1,1,1,2,1,1,1,2,3
2015,2922.47312,1,1,2,1,6,2,7,1,2,2,3,2,2,0,1,4,2,0,0,1,5
2015,3169.62854,2,1,2,1,5,2,5,3,2,1,4,1,3,5,2,5,3,0,0,2,3
2015,4687.268,1,2,2,2,5,1,6,4,3,1,4,2,2,0,1,4,2,0,0,2,3
2015,2490.36841,2,1,2,1,5,4,1,1,2,3,4,1,1,3,1,3,1,0,0,2,1
2015,3092.51065,2,1,2,1,6,4,88,0,3,2,1,1,2,0,1,3,1,1,2,2,1
2015,3334.51067,1,1,2,1,7,4,3,0,3,2,3,1,2,0,1,4,2,0,0,2,1
2015,3719.10202,2,1,2,1,7,4,3,0,3,2,3,1,2,0,1,3,1,1,2,2,1
2015,6556.65515,1,1,2,1,2,1,5,4,1,1,3,2,2,0,1,2,1,0,0,2,3
2015,3585.96226,1,1,2,1,4,1,88,1,1,1,6,1,2,0,2,5,3,0,0,2,5
2015,3585.96226,1,1,2,1,4,1,88,1,1,1,5,2,2,0,1,4,2,0,0,2,1
2015,3867.81608,1,1,1,4,1,1,88,1,4,2,2,1,2,0,1,4,2,0,0,2,1
2015,3066.99477,1,1,2,1,6,1,2,3,4,1,6,1,1,1,1,2,1,0,0,2,1
2015,3434.25987,1,1,2,1,6,2,5,0,4,3,3,1,2,0,1,4,2,0,0,2,5
2015,3476.40946,1,3,2,3,8,4,4,3,4,1,4,1,2,0,2,5,3,0,0,2,1
2015,32761.2707,2,1,1,4,6,4,2,5,4,1,4,2,2,0,1,4,2,0,0,2,1
2015,3933.62272,1,1,2,1,5,2,88,5,4,1,4,1,2,0,1,4,2,0,0,2,5
2015,3933.62272,1,1,2,1,5,2,88,5,4,1,4,1,2,0,1,4,2,0,0,2,5
2015,1945.65731,1,1,2,1,5,1,4,1,4,2,4,2,2,0,1,4,2,0,0,2,1
2015,1945.65731,1,1,2,1,5,1,4,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2015,1945.65731,1,1,2,1,5,1,4,1,4,2,4,2,2,0,1,4,2,0,0,2,1
2015,302.87836,1,2,2,2,7,1,88,2,4,1,3,1,2,0,1,4,2,0,0,2,1
2015,34788.5706,2,1,2,1,6,2,7,0,1,2,3,1,2,0,1,4,2,0,0,2,4
2015,3311.78853,2,1,2,1,5,1,5,1,2,2,4,1,3,5,1,2,1,1,2,2,3
